Model                        Iris                   Wine                   Breast Cancer          Digits                 Balance Scale          Blood Transfusion      Haberman               Seeds                  Teaching Assistant     Zoo                    Planning Relax         Ionosphere             Sonar                  Glass                  Vehicle                Liver Disorders        Heart Statlog          Pima Indians Diabetes  Australian             Monks-1                Aggregate              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CompressionDrivenLearner     0.9667                 0.9722                 0.9561                 0.9611                 0.7500                 0.8133                 0.6613                 0.8333                 0.5806                 0.9048                 0.6486                 0.9296                 0.8571                 0.6512                 0.7647                 0.6487                 0.8519                 0.6883                 0.9275                 1.0000                 0.794                  
DimensionalityAwareForest    0.9000                 1.0000                 0.9474                 0.9556                 0.7500                 0.7733                 0.7419                 0.8810                 0.3871                 0.9524                 0.7568                 0.9437                 0.9048                 0.7674                 0.7176                 0.8053                 0.8333                 0.6948                 0.9084                 0.7143                 0.777                  
BVOptimizedBagger            0.9333                 1.0000                 0.9474                 0.8861                 0.7500                 0.8000                 0.6129                 0.9286                 0.6452                 ERR                    0.6486                 0.9437                 0.7619                 0.8140                 0.7588                 0.6492                 0.8148                 0.7208                 0.9504                 1.0000                 0.748                  
MultiLevelAbstractionTree    0.9667                 0.9444                 0.9386                 0.4833                 0.8000                 0.7600                 0.6452                 0.8810                 0.5484                 0.8095                 0.7027                 0.9296                 0.7143                 0.6977                 0.6882                 0.2789                 0.8333                 0.6948                 0.9389                 0.8214                 0.647                  
DirectionalEnsembleTrees     0.8667                 0.9167                 0.9123                 0.5444                 0.7000                 0.7533                 0.7258                 0.9048                 0.5484                 0.8571                 0.7568                 0.8028                 0.6190                 0.5814                 0.5471                 0.8562                 0.7593                 0.6753                 0.7824                 0.7321                 0.524                  
EntropyGuidedDynamicNet      0.6333                 0.8333                 0.9386                 0.5250                 0.7000                 0.7533                 0.6290                 0.8571                 0.5806                 0.4286                 0.6216                 0.3380                 0.7143                 0.7674                 0.7118                 0.5680                 0.7037                 0.7338                 0.7252                 1.0000                 0.452                  
HybridNeuronModel            0.6000                 0.5556                 0.9649                 0.1278                 0.6000                 0.7733                 0.6774                 0.2619                 0.3548                 0.1905                 0.6757                 0.9155                 0.8095                 0.4651                 0.2765                 0.0597                 0.8519                 0.6948                 0.8931                 0.6339                 0.297                  
AdaptiveComplexityNet        ERR                    ERR                    0.9561                 0.9583                 ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.091                  
SimilarityAttention          ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
AdaptiveComplexityBagger     ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
BiasVarianceBalancingNet     ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
CompressionGuidedBagger      ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
DimAwareConnector            ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
DirectionalTree              ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
DirectionalFeatureExtractor  ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
EntropyGuidedBagger          ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
GranularityAdaptiveBagger    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
HybridDiscreteContForest     ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
HingeSVM                     ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
MultiLevelAbstractionNet     ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    ERR                    0.000                  
