model,dataset,total_s,fit_s,pred_s,timed_out
EntropyGuidedDynamicNet,Iris,0.041458250023424625,0.03927695797756314,0.0018200839404016733,0.0
EntropyGuidedDynamicNet,Wine,0.08631804212927818,0.08438908285461366,0.001695707906037569,0.0
EntropyGuidedDynamicNet,Breast Cancer,0.4443402090109885,0.4416684159077704,0.0024704590905457735,0.0
EntropyGuidedDynamicNet,Digits,1.2934704578947276,1.2903057499788702,0.0027883329894393682,0.0
EntropyGuidedDynamicNet,Balance Scale,0.026016375049948692,0.024275874951854348,0.0014987911563366652,0.0
EntropyGuidedDynamicNet,Blood Transfusion,0.3027243330143392,0.29826799989677966,0.0042387498542666435,0.0
EntropyGuidedDynamicNet,Haberman,0.07910420815460384,0.07562629180029035,0.003108792006969452,0.0
EntropyGuidedDynamicNet,Seeds,0.059457582887262106,0.05653025000356138,0.0027258340269327164,0.0
EntropyGuidedDynamicNet,Teaching Assistant,0.049500666093081236,0.04603570816107094,0.0029834159649908543,0.0
EntropyGuidedDynamicNet,Zoo,0.03455687500536442,0.033426708076149225,0.0009285409469157457,0.0
EntropyGuidedDynamicNet,Planning Relax,0.052784709027037024,0.05116645898669958,0.0013950830325484276,0.0
EntropyGuidedDynamicNet,Ionosphere,0.13795054098591208,0.13559591700322926,0.0021504589822143316,0.0
EntropyGuidedDynamicNet,Sonar,0.09688266692683101,0.09422120894305408,0.002456375164911151,0.0
EntropyGuidedDynamicNet,Glass,0.05636004195548594,0.054196083918213844,0.001961000030860305,0.0
EntropyGuidedDynamicNet,Vehicle,0.34387166681699455,0.34014766616746783,0.003509125206619501,0.0
EntropyGuidedDynamicNet,Liver Disorders,8.977700166869909,8.9445447078906,0.03225825005210936,0.0
EntropyGuidedDynamicNet,Heart Statlog,0.07132183387875557,0.06935479189269245,0.0017221658490598202,0.0
EntropyGuidedDynamicNet,Pima Indians Diabetes,0.22545624990016222,0.2235111251939088,0.0016952920705080032,0.0
EntropyGuidedDynamicNet,Australian,0.4408437078818679,0.4375630000140518,0.0030698340851813555,0.0
EntropyGuidedDynamicNet,Monks-1,0.14882516604848206,0.1464303331449628,0.0020396248437464237,0.0
SimilarityAttention,Iris,0.0006703340914100409,0.00023874989710748196,-1.0,0.0
SimilarityAttention,Wine,0.0006577088497579098,0.00010433304123580456,-1.0,0.0
SimilarityAttention,Breast Cancer,0.0007804580964148045,0.00026983278803527355,-1.0,0.0
SimilarityAttention,Digits,0.005437333835288882,0.0004477081820368767,-1.0,0.0
SimilarityAttention,Balance Scale,0.00043400004506111145,0.00010100007057189941,-1.0,0.0
SimilarityAttention,Blood Transfusion,0.0009831669740378857,0.00012016692198812962,-1.0,0.0
SimilarityAttention,Haberman,0.0006528750527650118,0.00010862504132091999,-1.0,0.0
SimilarityAttention,Seeds,0.0007403341587632895,0.0001080420333892107,-1.0,0.0
SimilarityAttention,Teaching Assistant,0.0006503751501441002,9.870808571577072e-05,-1.0,0.0
SimilarityAttention,Zoo,0.0005506251472979784,0.00012858305126428604,-1.0,0.0
SimilarityAttention,Planning Relax,0.0005088329780846834,0.00011129211634397507,-1.0,0.0
SimilarityAttention,Ionosphere,0.0005419580265879631,0.00010237493552267551,-1.0,0.0
SimilarityAttention,Sonar,0.0005717501044273376,9.983382187783718e-05,-1.0,0.0
SimilarityAttention,Glass,0.0004892919678241014,0.00010529207065701485,-1.0,0.0
SimilarityAttention,Vehicle,0.0010382500477135181,0.0004235000815242529,-1.0,0.0
SimilarityAttention,Liver Disorders,0.019293166929855943,0.0007231670897454023,-1.0,0.0
SimilarityAttention,Heart Statlog,0.000592375174164772,0.00012412481009960175,-1.0,0.0
SimilarityAttention,Pima Indians Diabetes,0.0005546251777559519,0.0001463748048990965,-1.0,0.0
SimilarityAttention,Australian,0.001244999933987856,0.00031174998730421066,-1.0,0.0
SimilarityAttention,Monks-1,0.00037554209120571613,9.44170169532299e-05,-1.0,0.0
AdaptiveComplexityBagger,Iris,0.006813375046476722,0.0067555829882621765,-1.0,0.0
AdaptiveComplexityBagger,Wine,0.007987083168700337,0.0079498749691993,-1.0,0.0
AdaptiveComplexityBagger,Breast Cancer,0.047049083979800344,0.04701133421622217,-1.0,0.0
AdaptiveComplexityBagger,Digits,0.12032779096625745,0.12028566701337695,-1.0,0.0
AdaptiveComplexityBagger,Balance Scale,0.006532792001962662,0.006488291081041098,-1.0,0.0
AdaptiveComplexityBagger,Blood Transfusion,0.01324816606938839,0.0132085841614753,-1.0,0.0
AdaptiveComplexityBagger,Haberman,0.00860349996946752,0.008563500130549073,-1.0,0.0
AdaptiveComplexityBagger,Seeds,0.007062416989356279,0.007021832978352904,-1.0,0.0
AdaptiveComplexityBagger,Teaching Assistant,0.005896334070712328,0.005859749857336283,-1.0,0.0
AdaptiveComplexityBagger,Zoo,0.005646667210385203,0.005609959131106734,-1.0,0.0
AdaptiveComplexityBagger,Planning Relax,0.011004083091393113,0.010967874899506569,-1.0,0.0
AdaptiveComplexityBagger,Ionosphere,0.03309212485328317,0.0330523329321295,-1.0,0.0
AdaptiveComplexityBagger,Sonar,0.02654804103076458,0.026510416995733976,-1.0,0.0
