,mean_total_s,max_total_s,timeouts
EntropyGuidedDynamicNet,0.6484471874777228,8.977700166869909,0
SimilarityAttention,0.0018384001916274429,0.019293166929855943,0
AdaptiveComplexityBagger,0.031889768678229305,0.23159979097545147,0
AdaptiveComplexityNet,0.9995178582612425,12.214226707816124,0
BiasVarianceBalancingNet,0.0010168520035222172,0.0016326250042766333,0
BVOptimizedBagger,1.2415819687070324,5.563160249963403,0
CompressionGuidedBagger,0.00016617298824712635,0.0006937920115888119,0
CompressionDrivenLearner,15.786602041777224,195.4299129578285,0
DimensionalityAwareForest,0.09257890209555626,0.5591703751124442,0
DimAwareConnector,0.011702958343084902,0.17766450019553304,0
DirectionalEnsembleTrees,0.18926605832530186,2.1790628330782056,0
DirectionalTree,1.6625155694782733e-06,7.667113095521927e-06,0
DirectionalFeatureExtractor,0.0004675563774071634,0.0007521251682192087,0
EntropyGuidedBagger,0.00016105847898870707,0.00030816695652902126,0
GranularityAdaptiveBagger,0.00012679160572588445,0.0003395408857613802,0
HybridDiscreteContForest,0.00029209378408268094,0.0005340829957276583,0
HingeSVM,1.5916884876787663e-06,4.834029823541641e-06,0
HybridNeuronModel,14.449872454220895,134.7360154998023,0
MultiLevelAbstractionTree,0.011088835389818997,0.07463312498293817,0
MultiLevelAbstractionNet,10.69304240209749,71.2633009168785,0
