model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveAggressivenessClassifier,Iris,0.18237645796034485,0.1788854580372572,0.00319837499409914,0.0
AdaptiveAggressivenessClassifier,Breast Cancer,0.2802448329748586,0.27383404201827943,0.00616666697897017,0.0
AdaptiveAggressivenessClassifier,Credit-G,0.43247208395041525,0.38309170899447054,0.04915079101920128,0.0
AdaptiveAggressivenessClassifier,Phoneme,1.3276617089286447,1.2571471659466624,0.07019362493883818,0.0
AdaptiveAggressivenessClassifier,Vehicle,0.5997696249978617,0.5837164159165695,0.01577845902647823,0.0
AdaptiveAggressivenessClassifier,Glass,0.3972492079483345,0.39296612492762506,0.004016999970190227,0.0
AdaptiveBasisClassifier,Iris,0.031928166979923844,0.03156729100737721,0.00014754105359315872,0.0
AdaptiveBasisClassifier,Breast Cancer,0.20526674995198846,0.204358333023265,0.0004956250777468085,0.0
AdaptiveBasisClassifier,Credit-G,0.448862416902557,0.44832487497478724,0.00024624995421618223,0.0
AdaptiveBasisClassifier,Phoneme,4.559683333034627,4.553113041911274,0.00600725004915148,0.0
AdaptiveBasisClassifier,Vehicle,1.1443482500035316,1.1429744160268456,0.001127084018662572,0.0
AdaptiveBasisClassifier,Glass,0.17287591705098748,0.17238616605754942,0.00026054191403090954,0.0
AdaptiveFeatureWeightingClassifier,Iris,0.0026889160508289933,0.002356374985538423,0.00011662498582154512,0.0
AdaptiveFeatureWeightingClassifier,Breast Cancer,0.01016541593708098,0.009466541931033134,0.00042679195757955313,0.0
AdaptiveFeatureWeightingClassifier,Credit-G,0.010038667009212077,0.009177291998639703,0.0005118339322507381,0.0
AdaptiveFeatureWeightingClassifier,Phoneme,0.0063364580273628235,0.005241042003035545,0.0007337499409914017,0.0
AdaptiveFeatureWeightingClassifier,Vehicle,0.0353855830617249,0.03456166700925678,0.0006119579775258899,0.0
AdaptiveFeatureWeightingClassifier,Glass,0.007779834093526006,0.00741850002668798,0.00013875006698071957,0.0
AdaptiveLaplaceNB,Iris,0.0014258750015869737,0.0010570420417934656,0.00016541604418307543,0.0
