model,dataset,total_s,fit_s,pred_s,timed_out
CorrelationWeightedNaiveBayes,Iris,0.0043872910318896174,0.003785707987844944,0.00027437496464699507,0.0
CorrelationWeightedNaiveBayes,Breast Cancer,0.21422075002919883,0.21263745904434472,0.001301166950725019,0.0
CorrelationWeightedNaiveBayes,Credit-G,0.28166245808824897,0.279536624904722,0.0018864170415326953,0.0
CorrelationWeightedNaiveBayes,Vehicle,0.2720990829402581,0.26775029103737324,0.004044207977131009,0.0
CorrelationWeightedNaiveBayes,Glass,0.018669207929633558,0.016364541021175683,0.002060708007775247,0.0
DynamicLambdaClassifier,Iris,0.0431498329853639,0.0424989580642432,0.0004283749731257558,0.0
DynamicLambdaClassifier,Breast Cancer,0.054932250059209764,0.05431562499143183,0.00025025010108947754,0.0
DynamicLambdaClassifier,Credit-G,0.5703010000288486,0.5695542090106755,0.0004392499104142189,0.0
DynamicLambdaClassifier,Vehicle,3.32113966695033,3.318759125075303,0.0021343750413507223,0.0
DynamicLambdaClassifier,Glass,1.4939501250628382,1.493382333079353,0.0002681659534573555,0.0
EnsembleNaiveBayesClassifier,Iris,0.0055228330893442035,0.0037220410304144025,0.0015987919177860022,0.0
EnsembleNaiveBayesClassifier,Breast Cancer,0.012935500009916723,0.009361083037219942,0.0031452500261366367,0.0
EnsembleNaiveBayesClassifier,Credit-G,0.014433166943490505,0.01068625005427748,0.0035197919933125377,0.0
EnsembleNaiveBayesClassifier,Vehicle,0.01889320893678814,0.012432083021849394,0.00621862499974668,0.0
EnsembleNaiveBayesClassifier,Glass,0.006869542063213885,0.004940917016938329,0.0017173750093206763,0.0
FactorAnalysisDiscriminant,Iris,0.002026042086072266,0.0015801249537616968,0.00024041696451604366,0.0
FactorAnalysisDiscriminant,Breast Cancer,0.0022344590397551656,0.0012839579721912742,0.0007142910035327077,0.0
FactorAnalysisDiscriminant,Credit-G,0.002400500001385808,0.0012109579984098673,0.0009272079914808273,0.0
FactorAnalysisDiscriminant,Vehicle,0.003310583997517824,0.0015333750052377582,0.001521624973975122,0.0
FactorAnalysisDiscriminant,Glass,0.00207929196767509,0.0014594589592888951,0.00035262503661215305,0.0
GeodesicCovarianceEnsembleClassifier,Iris,1.4093402089783922,1.407955375034362,0.0011348749976605177,0.0
GeodesicCovarianceEnsembleClassifier,Breast Cancer,5.515998207964003,5.451511207967997,0.06398362503387034,0.0
GeodesicCovarianceEnsembleClassifier,Credit-G,2.1717684169998392,2.1490987499710172,0.02237737493123859,0.0
GeodesicCovarianceEnsembleClassifier,Vehicle,4.103333082981408,4.077394750085659,0.02510991704184562,0.0
GeodesicCovarianceEnsembleClassifier,Glass,6.585350250010379,6.57412495801691,0.011003167019225657,0.0
HierarchicalBayesianClassifier,Iris,0.007403000025078654,0.007102790987119079,5.80840278416872e-05,0.0
HierarchicalBayesianClassifier,Breast Cancer,0.3040225419681519,0.3027883329195902,0.0009534580167382956,0.0
HierarchicalBayesianClassifier,Credit-G,0.43427904206328094,0.43351862498093396,0.00011083390563726425,0.0
HierarchicalBayesianClassifier,Vehicle,0.48084987502079457,0.4798831669613719,0.0006505419733002782,0.0
HierarchicalBayesianClassifier,Glass,0.21628287504427135,0.21591791696846485,9.65840881690383e-05,0.0
HierarchicalLDA,Iris,0.003756249905563891,0.003334415960125625,0.00021062500309199095,0.0
HierarchicalLDA,Breast Cancer,0.01409766694996506,0.013035041047260165,0.0003055419074371457,0.0
HierarchicalLDA,Credit-G,0.01444624993018806,0.013380000018514693,0.0006326669827103615,0.0
HierarchicalLDA,Vehicle,0.016079874942079186,0.014449624926783144,0.0014372909208759665,0.0
HierarchicalLDA,Glass,0.005125207942910492,0.004423332982696593,0.00019337492994964123,0.0
HierarchicalNaiveBayes,Iris,0.014383250032551587,0.012014291947707534,0.0021751669701188803,0.0
HierarchicalNaiveBayes,Breast Cancer,0.8568476670188829,0.827325375052169,0.029321292066015303,0.0
HierarchicalNaiveBayes,Credit-G,0.8190550829749554,0.8071221249410883,0.01171966700349003,0.0
HierarchicalNaiveBayes,Vehicle,0.8050862080417573,0.7802945000585169,0.02458149997983128,0.0
HierarchicalNaiveBayes,Glass,0.051217750064097345,0.04431391693651676,0.006720749894157052,0.0
HierarchicalSmoothingClassifier,Iris,0.012134999968111515,0.005112958024255931,0.006803791970014572,0.0
HierarchicalSmoothingClassifier,Breast Cancer,1.2829873750451952,0.8404417079873383,0.44177420798223466,0.0
HierarchicalSmoothingClassifier,Credit-G,1.9526852919952944,1.21416491700802,0.7338313750224188,0.0
HierarchicalSmoothingClassifier,Vehicle,2.1116602909751236,1.1997268330305815,0.9116342910565436,0.0
HierarchicalSmoothingClassifier,Glass,0.11352616699878126,0.05117795802652836,0.0620364579372108,0.0
HybridCoordinateGradientClassifier,Iris,0.04002487496472895,0.03865512495394796,6.858306005597115e-05,0.0
HybridCoordinateGradientClassifier,Breast Cancer,0.01483187498524785,-1.0,-1.0,0.0
HybridCoordinateGradientClassifier,Credit-G,0.04268100007902831,-1.0,-1.0,0.0
HybridCoordinateGradientClassifier,Vehicle,3.6196850419510156,3.618830042076297,0.0005595829570665956,0.0
HybridCoordinateGradientClassifier,Glass,1.2312420420348644,1.2308972500031814,6.020907312631607e-05,0.0
LocalCovarianceKNNClassifier,Iris,0.02349945902824402,0.0006201670039445162,0.0226689160335809,0.0
LocalCovarianceKNNClassifier,Breast Cancer,0.9157357088988647,0.0003558750031515956,0.9151265409309417,0.0
LocalCovarianceKNNClassifier,Credit-G,0.38830904208589345,0.0012201248900964856,0.3868435830809176,0.0
LocalCovarianceKNNClassifier,Vehicle,0.4151657080510631,0.0013213340425863862,0.41356341703794897,0.0
LocalCovarianceKNNClassifier,Glass,0.07537066703662276,0.0006525410572066903,0.0745173339964822,0.0
LocalCovarianceMetricClassifier,Iris,0.001836333074606955,0.00026287499349564314,0.0013820419553667307,0.0
LocalCovarianceMetricClassifier,Breast Cancer,0.011896791984327137,0.0020297080045565963,0.009658750030212104,0.0
LocalCovarianceMetricClassifier,Credit-G,0.02896158304065466,0.0013940840726718307,0.027277457993477583,0.0
