model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveAggressivenessClassifier,Iris,0.1956213329685852,0.19105841603595763,0.004217957961373031,0.0
AdaptiveAggressivenessClassifier,Breast Cancer,0.29546012496575713,0.2882525419117883,0.0069307079538702965,0.0
AdaptiveAggressivenessClassifier,Adult,5.264064457966015,4.900223582983017,0.361643125070259,0.0
AdaptiveAggressivenessClassifier,Credit-G,0.43594674998894334,0.4007961250608787,0.03487504203803837,0.0
AdaptiveAggressivenessClassifier,Vehicle,0.6024443750502542,0.5871964580146596,0.014793791924603283,0.0
AdaptiveAggressivenessClassifier,Glass,0.4072507079690695,0.40208283299580216,0.004936082987114787,0.0
AdaptiveBasisClassifier,Iris,0.04195629106834531,0.04149020800832659,0.00019762490410357714,0.0
AdaptiveBasisClassifier,Breast Cancer,0.21149716700892895,0.21018420800101012,0.0009156661108136177,0.0
AdaptiveBasisClassifier,Adult,20.72290916601196,20.72114329098258,0.0012199169723317027,0.0
AdaptiveBasisClassifier,Credit-G,1.3522136670071632,1.3517468749778345,0.00019258307293057442,0.0
AdaptiveBasisClassifier,Vehicle,1.1609065000666305,1.160000375006348,0.0005693340208381414,0.0
AdaptiveBasisClassifier,Glass,0.0780218750005588,0.07738308410625905,0.00032120803371071815,0.0
AdaptiveFeatureWeightingClassifier,Iris,0.0030418329406529665,0.0025374579709023237,0.00024437508545815945,0.0
AdaptiveFeatureWeightingClassifier,Breast Cancer,0.010600750101730227,0.010058333980850875,0.0002942499704658985,0.0
AdaptiveFeatureWeightingClassifier,Adult,0.04026112495921552,0.0379333330783993,0.001911874976940453,0.0
AdaptiveFeatureWeightingClassifier,Credit-G,0.007460791966877878,0.006774874986149371,0.0004199170507490635,0.0
AdaptiveFeatureWeightingClassifier,Vehicle,0.008961332961916924,0.008450750028714538,0.0002602080348879099,0.0
AdaptiveFeatureWeightingClassifier,Glass,0.004413124988786876,0.004060041974298656,0.00014308292884379625,0.0
AdaptiveLaplaceNB,Iris,0.0009607080137357116,0.0005901249824091792,0.00016570801381021738,0.0
AdaptiveLaplaceNB,Breast Cancer,0.0026678749127313495,0.0009729170706123114,0.0014633749378845096,0.0
AdaptiveLaplaceNB,Adult,0.33245316694956273,0.05949716700706631,0.2711856249952689,0.0
AdaptiveLaplaceNB,Credit-G,0.009044874925166368,0.001146666007116437,0.007585249957628548,0.0
AdaptiveLaplaceNB,Vehicle,0.013395459041930735,0.0015283749671652913,0.011462957947514951,0.0
AdaptiveLaplaceNB,Glass,0.0036613750271499157,0.0011938340030610561,0.0022394999396055937,0.0
AdaptiveNoiseScaledGradientClassifier,Iris,0.5238173330435529,0.5232501669088379,0.000311334035359323,0.0
AdaptiveNoiseScaledGradientClassifier,Breast Cancer,0.23088533303234726,0.23024337505921721,0.00030270894058048725,0.0
AdaptiveNoiseScaledGradientClassifier,Adult,0.8478913339786232,0.8441824590554461,0.002187208039686084,0.0
AdaptiveNoiseScaledGradientClassifier,Credit-G,0.26921541593037546,0.2684146669926122,0.0005222499603405595,0.0
AdaptiveNoiseScaledGradientClassifier,Vehicle,0.4158201669342816,0.4152066670358181,0.000362665974535048,0.0
AdaptiveNoiseScaledGradientClassifier,Glass,0.36803375009913,0.3675785840023309,0.00022437493316829205,0.0
AdaptivePruningClassifier,Iris,0.07210395904257894,0.07167045900132507,0.00015520805027335882,0.0
AdaptivePruningClassifier,Breast Cancer,0.1490407499950379,0.14824699994642287,0.0004884579684585333,0.0
AdaptivePruningClassifier,Adult,5.867501666070893,5.861767792026512,0.004232125007547438,0.0
AdaptivePruningClassifier,Credit-G,0.07926825003232807,0.07869766594376415,0.0002741659991443157,0.0
AdaptivePruningClassifier,Vehicle,0.24650095799006522,0.24565062497276813,0.0005124580347910523,0.0
AdaptivePruningClassifier,Glass,0.13293070800136775,0.13248350005596876,0.0001622500130906701,0.0
AdditiveEnsembleCentroidClassifier,Iris,0.004404957988299429,0.0008415839402005076,0.003348250058479607,0.0
AdditiveEnsembleCentroidClassifier,Breast Cancer,0.004374583018943667,0.0011357080657035112,0.0030213750433176756,0.0
AdditiveEnsembleCentroidClassifier,Adult,0.025579708046279848,0.013043000013567507,0.012076415936462581,0.0
AdditiveEnsembleCentroidClassifier,Credit-G,0.0048611670499667525,0.0010203750571236014,0.003556584008038044,0.0
AdditiveEnsembleCentroidClassifier,Vehicle,0.008242374984547496,0.0013959590578451753,0.006556040956638753,0.0
AdditiveEnsembleCentroidClassifier,Glass,0.009077540948055685,0.0011914160568267107,0.007695249980315566,0.0
AdditiveRidgeSegmentClassifier,Iris,0.005488707916811109,0.004503417061641812,0.0006745829014107585,0.0
AdditiveRidgeSegmentClassifier,Breast Cancer,0.016285291989333928,0.014460084028542042,0.001552083995193243,0.0
AdditiveRidgeSegmentClassifier,Adult,0.08186458295676857,0.07313475001137704,0.008335250080563128,0.0
AdditiveRidgeSegmentClassifier,Credit-G,0.008109249989502132,0.007026208913885057,0.0008560840506106615,0.0
AdditiveRidgeSegmentClassifier,Vehicle,0.039579959004186094,0.034190415986813605,0.005042499979026616,0.0
AdditiveRidgeSegmentClassifier,Glass,0.020749917021021247,0.01886083302088082,0.001658041961491108,0.0
BetaBernoulliClassifier,Iris,0.0006830419879406691,0.00030820805113762617,0.0001254579983651638,0.0
BetaBernoulliClassifier,Breast Cancer,0.0006662079831585288,0.0002850419841706753,0.00017983396537601948,0.0
BetaBernoulliClassifier,Adult,0.00511841697152704,0.002552957972511649,0.002081249956972897,0.0
BetaBernoulliClassifier,Credit-G,0.0007586251012980938,0.00041912496089935303,0.00011891697067767382,0.0
BetaBernoulliClassifier,Vehicle,0.0007309579523280263,0.00039912492502480745,0.00013454200234264135,0.0
BetaBernoulliClassifier,Glass,0.0005261669866740704,0.00023416709154844284,0.00012570898979902267,0.0
BiasVarianceMultinomialClassifier,Iris,0.005981500027701259,0.00557995808776468,0.00017470796592533588,0.0
BiasVarianceMultinomialClassifier,Breast Cancer,0.006228250102140009,0.005679666996002197,0.00030170800164341927,0.0
BiasVarianceMultinomialClassifier,Adult,0.15829466609284282,0.1553798340028152,0.002472874941304326,0.0
BiasVarianceMultinomialClassifier,Credit-G,0.011966624995693564,0.01148358394857496,0.00024008401669561863,0.0
BiasVarianceMultinomialClassifier,Vehicle,0.017931291018612683,0.0172929170075804,0.00039220904000103474,0.0
BiasVarianceMultinomialClassifier,Glass,0.0068150830920785666,0.006417375057935715,0.0001860000193119049,0.0
BiasVarianceRidgeClassifier,Iris,0.0012294580228626728,0.0008240420138463378,7.529195863753557e-05,0.0
BiasVarianceRidgeClassifier,Breast Cancer,0.0010565000120550394,0.0007552909664809704,7.104198448359966e-05,0.0
BiasVarianceRidgeClassifier,Adult,0.006818416994065046,0.005920249968767166,0.00028733303770422935,0.0
BiasVarianceRidgeClassifier,Credit-G,0.0012212080182507634,0.0009139579487964511,7.441698107868433e-05,0.0
BiasVarianceRidgeClassifier,Vehicle,0.001388459000736475,0.0010706669418141246,0.0001092919846996665,0.0
BiasVarianceRidgeClassifier,Glass,0.0013634170172736049,0.001043124939315021,8.166593033820391e-05,0.0
ConditionalFeaturePriorClassifier,Iris,0.0011888750595971942,0.0004036249592900276,0.0005720000481233001,0.0
ConditionalFeaturePriorClassifier,Breast Cancer,0.0010759159922599792,0.00035216694232076406,0.0005290840053930879,0.0
ConditionalFeaturePriorClassifier,Adult,0.01274125010240823,0.005741500062867999,0.00648950005415827,0.0
ConditionalFeaturePriorClassifier,Credit-G,0.001547125051729381,0.0005574999377131462,0.0007680840790271759,0.0
ConditionalFeaturePriorClassifier,Vehicle,0.0015726250130683184,0.0005074579967185855,0.0008696659933775663,0.0
ConditionalFeaturePriorClassifier,Glass,0.0014521250268444419,0.00034370901994407177,0.000860332977026701,0.0
ConfidenceRegularizedPassiveAggressiveClassifier,Iris,0.42630650009959936,0.4259727499447763,0.00010458298493176699,0.0
ConfidenceRegularizedPassiveAggressiveClassifier,Breast Cancer,0.23972249997314066,0.23929616692475975,0.00014929205644875765,0.0
ConfidenceRegularizedPassiveAggressiveClassifier,Adult,15.717279665987007,15.71632791601587,0.0005333750741556287,0.0
ConfidenceRegularizedPassiveAggressiveClassifier,Credit-G,3.3547596250427887,3.3543397079920396,0.00014725001528859138,0.0
ConfidenceRegularizedPassiveAggressiveClassifier,Vehicle,10.971562083926983,10.971097458037548,0.00021312502212822437,0.0
ConfidenceRegularizedPassiveAggressiveClassifier,Glass,2.794829083024524,2.7944584160577506,0.00013066700194031,0.0
CorrelatedFeatureNaiveBayes,Iris,0.001284667057916522,0.000620707985945046,0.00045029097236692905,0.0
CorrelatedFeatureNaiveBayes,Breast Cancer,0.025862333015538752,0.0025910420808941126,0.022652083076536655,0.0
CorrelatedFeatureNaiveBayes,Adult,0.10019383300095797,0.01527016598265618,0.08417558309156448,0.0
CorrelatedFeatureNaiveBayes,Credit-G,0.024722583941183984,0.0038924169493839145,0.019923083018511534,0.0
CorrelatedFeatureNaiveBayes,Vehicle,0.03529583406634629,0.004631250048987567,0.030430832994170487,0.0
CorrelatedFeatureNaiveBayes,Glass,0.005555124953389168,0.004424042068421841,0.0009194170124828815,0.0
CorrelationWeightedNaiveBayes,Iris,0.0029419169295579195,0.0025071670534089208,0.00022779102437198162,0.0
CorrelationWeightedNaiveBayes,Breast Cancer,0.13937504100613296,0.13770495902281255,0.0013676249654963613,0.0
CorrelationWeightedNaiveBayes,Adult,0.9576662499457598,0.7992191249504685,0.15740745794028044,0.0
CorrelationWeightedNaiveBayes,Credit-G,0.1727845419663936,0.17056479095481336,0.001907208003103733,0.0
CorrelationWeightedNaiveBayes,Vehicle,0.16932549991179258,0.16483379201963544,0.0038008750416338444,0.0
CorrelationWeightedNaiveBayes,Glass,0.01688670797739178,0.014689667033962905,0.0019650409230962396,0.0
