,mean_total_s,max_total_s,timeouts
CorrelationWeightedNaiveBayes,0.15820775800384582,0.28166245808824897,0
DynamicLambdaClassifier,1.096694575017318,3.32113966695033,0
EnsembleNaiveBayesClassifier,0.011730850208550692,0.01889320893678814,0
FactorAnalysisDiscriminant,0.0024101754184812306,0.003310583997517824,0
GeodesicCovarianceEnsembleClassifier,3.957158033386804,6.585350250010379,0
HierarchicalBayesianClassifier,0.2885674668243155,0.48084987502079457,0
HierarchicalLDA,0.010701049934141338,0.016079874942079186,0
HierarchicalNaiveBayes,0.509317991626449,0.8568476670188829,0
HierarchicalSmoothingClassifier,1.0945988249965013,2.1116602909751236,0
HybridCoordinateGradientClassifier,0.989692966802977,3.6196850419510156,0
LocalCovarianceKNNClassifier,0.36361611702013763,0.9157357088988647,0
LocalCovarianceMetricClassifier,0.030440449831075966,0.0992635830771178,0
LowRankSparseClassifier,0.4571448918199167,1.2096313340589404,0
ManifoldLDA,0.06388575001619756,0.13622674997895956,0
MixtureOfSubCentroidsClassifier,0.05214311678428203,0.09830804204102606,0
OptimalClassRegularizedClassifier,0.0014462417690083384,0.0020507919834926724,0
OrthogonalSubspaceClassifier,1.062963624787517,1.681375417043455,0
PolynomialARDClassifier,0.6370570083614439,1.598590958979912,0
