,mean_total_s,max_total_s,timeouts
AdaptiveAggressivenessClassifier,1.2001312914847706,5.264064457966015,0
AdaptiveBasisClassifier,3.9279174443605975,20.72290916601196,0
AdaptiveFeatureWeightingClassifier,0.012456492986530066,0.04026112495921552,0
AdaptiveLaplaceNB,0.0603639098117128,0.33245316694956273,0
AdaptiveNoiseScaledGradientClassifier,0.44261055550305173,0.8478913339786232,0
AdaptivePruningClassifier,1.0912243818553786,5.867501666070893,0
AdditiveEnsembleCentroidClassifier,0.009423388672682146,0.025579708046279848,0
AdditiveRidgeSegmentClassifier,0.028679618146270514,0.08186458295676857,0
BetaBernoulliClassifier,0.0014139028304877381,0.00511841697152704,0
BiasVarianceMultinomialClassifier,0.03453623588817815,0.15829466609284282,0
BiasVarianceRidgeClassifier,0.0021795765108739338,0.006818416994065046,0
ConditionalFeaturePriorClassifier,0.003262986040984591,0.01274125010240823,0
ConfidenceRegularizedPassiveAggressiveClassifier,5.584076576342341,15.717279665987007,0
CorrelatedFeatureNaiveBayes,0.03215239600588878,0.10019383300095797,0
CorrelationWeightedNaiveBayes,0.24316332628950477,0.9576662499457598,0
