model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveDensityWeightedClassifier,Iris,0.0047811249969527125,0.002998166950419545,0.001453750068321824,0.0
AdaptiveDensityWeightedClassifier,Breast Cancer,0.08704620902426541,0.08355995803140104,0.0031762089347466826,0.0
AdaptiveDensityWeightedClassifier,Credit-G,0.09808533394243568,0.08466720907017589,0.012656500097364187,0.0
AdaptiveDensityWeightedClassifier,Phoneme,0.346548332949169,0.025116833043284714,0.32078199996612966,0.0
AdaptiveDensityWeightedClassifier,Vehicle,0.09211058297660202,0.0807652500225231,0.011115291970781982,0.0
AdaptiveDensityWeightedClassifier,Glass,0.0017680410528555512,0.0010331670055165887,0.0005273340502753854,0.0
AdaptiveHistogramTreeClassifier,Iris,0.07624908396974206,0.07589133305009454,8.841708768159151e-05,0.0
AdaptiveHistogramTreeClassifier,Breast Cancer,2.833371667074971,2.8326683330815285,0.00023812497965991497,0.0
AdaptiveHistogramTreeClassifier,Credit-G,8.205001375055872,8.203231084044091,0.0003812500508502126,0.0
AdaptiveHistogramTreeClassifier,Phoneme,8.402675666031428,8.399785417015664,0.0020097909728065133,0.0
AdaptiveHistogramTreeClassifier,Vehicle,7.199215083033778,7.19841070799157,0.0003053330583497882,0.0
AdaptiveHistogramTreeClassifier,Glass,1.3643975839950144,1.3638927499996498,0.0001442920183762908,0.0
AdaptiveKernelClassifier,Iris,0.02643933310173452,0.0005784590030089021,0.025629459065385163,0.0
AdaptiveKernelClassifier,Breast Cancer,0.29611970798578113,0.0012210829881951213,0.2946252500405535,0.0
AdaptiveKernelClassifier,Credit-G,0.45809108298271894,0.0006153750000521541,0.4572107079438865,0.0
AdaptiveKernelClassifier,Phoneme,1.6019062499981374,0.004131249967031181,1.5968945419881493,0.0
AdaptiveKernelClassifier,Vehicle,0.8859942910494283,0.003148915944620967,0.882607416016981,0.0
AdaptiveKernelClassifier,Glass,0.43377379095181823,0.00075683300383389,0.4326328750466928,0.0
AdaptiveKernelDensityClassifier,Iris,0.01448854198679328,0.0013725419994443655,0.012835667002946138,0.0
AdaptiveKernelDensityClassifier,Breast Cancer,0.06072108296211809,0.013305790955200791,0.047050332999788225,0.0
AdaptiveKernelDensityClassifier,Credit-G,0.13420974998734891,0.034528874908573925,0.09928266704082489,0.0
AdaptiveKernelDensityClassifier,Phoneme,2.255598457995802,1.046500000054948,1.208444416988641,0.0
AdaptiveKernelDensityClassifier,Vehicle,0.17369099997449666,0.02781999995931983,0.14561466698069125,0.0
AdaptiveKernelDensityClassifier,Glass,0.03996262501459569,0.002633291995152831,0.03709962498396635,0.0
AdaptiveKNNClassifier,Iris,0.007408000063151121,0.0025884590577334166,0.004619708983227611,0.0
