model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveComplexityClassifier,Vehicle,1.0666946249548346,0.9647849580505863,0.10159554099664092,0.0
AdaptiveComplexityClassifier,Glass,0.19795383408199996,0.1829696249915287,0.01472624996677041,0.0
AdaptiveContextMixingClassifier,Vehicle,15.41119587502908,15.14762675005477,0.2632373330416158,0.0
AdaptiveContextMixingClassifier,Glass,1.6363992500118911,1.6265362080885097,0.009581250022165477,0.0
AdaptiveHypervectorClassifier,Vehicle,142.0233153749723,140.51277166698128,1.5102165839634836,0.0
AdaptiveHypervectorClassifier,Glass,2.058404166949913,2.0518327089957893,0.00627979205455631,0.0
AdaptiveReservoirComplexityClassifier,Vehicle,4.8299776669591665,3.684126874897629,1.1455317919608206,0.0
AdaptiveReservoirComplexityClassifier,Glass,0.9001941250171512,0.7359615419991314,0.16391158394981176,0.0
AdaptiveRiemannianFisherClassifier,Vehicle,0.04748291696887463,0.046990124974399805,0.0002649169182404876,0.0
AdaptiveRiemannianFisherClassifier,Glass,0.006146791041828692,0.005778416991233826,0.0001775000710040331,0.0
AdaptiveTopologyClassifier,Vehicle,0.0008474169299006462,-1.0,-1.0,0.0
AdaptiveTopologyClassifier,Glass,0.00035912496969103813,-1.0,-1.0,0.0
AntColonyHomologyClassifier,Vehicle,76.24283629097044,76.22405904205516,0.018144582980312407,0.0
AntColonyHomologyClassifier,Glass,16.669109292095527,16.635643667075783,0.03319283400196582,0.0
BioInspiredCAClassifier,Vehicle,113.07752545899712,112.91096291609574,0.16626141697634012,0.0
BioInspiredCAClassifier,Glass,24.96251487499103,24.95726499997545,0.004988707951270044,0.0
BioInspiredSpeciationClassifier,Vehicle,24.386289666057564,23.00852500007022,1.3774420421104878,0.0
BioInspiredSpeciationClassifier,Glass,8.38052616699133,8.367494041915052,0.012820833013392985,0.0
DifferentiableTopologyClassifier,Vehicle,2619.88421745901,2619.765211666003,0.11871425004210323,0.0
DifferentiableTopologyClassifier,Glass,1252.9825447499752,1252.9481735830195,0.03411241702269763,0.0
