model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveAbstractionForest,Iris,0.06885975017212331,0.06102562486194074,0.007565875072032213,0.0
AdaptiveAbstractionForest,Wine,0.09485504101030529,0.0890816249884665,0.005620916839689016,0.0
AdaptiveAbstractionForest,Breast Cancer,0.4117741659283638,0.40362600004300475,0.00794070796109736,0.0
AdaptiveAbstractionForest,Digits,1.0600937081035227,1.0134092499502003,0.04602429084479809,0.0
AdaptiveAbstractionForest,Balance Scale,0.057647167006507516,0.052527416963130236,0.004919375060126185,0.0
AdaptiveAbstractionForest,Blood Transfusion,0.12409470812417567,0.11053829197771847,0.013390667038038373,0.0
AdaptiveAbstractionForest,Haberman,0.05923029198311269,0.05173283303156495,0.007329625077545643,0.0
AdaptiveAbstractionForest,Seeds,0.07366383308544755,0.06503883400000632,0.00845841714181006,0.0
AdaptiveAbstractionForest,Teaching Assistant,0.07265162491239607,0.06417195801623166,0.008312416961416602,0.0
AdaptiveAbstractionForest,Zoo,0.06871958309784532,0.06277154199779034,0.005756665952503681,0.0
AdaptiveAbstractionForest,Planning Relax,0.08351379097439349,0.07774737500585616,0.005573084112256765,0.0
AdaptiveAbstractionForest,Ionosphere,0.2067882081028074,0.19909891695715487,0.007489416981115937,0.0
AdaptiveAbstractionForest,Sonar,0.21707529202103615,0.2122514999937266,0.004649958806112409,0.0
AdaptiveAbstractionForest,Glass,0.06482774997130036,0.058242375031113625,0.006397165823727846,0.0
AdaptiveAbstractionForest,Vehicle,0.2968505830504,0.28391520911827683,0.012730542104691267,0.0
AdaptiveAbstractionForest,Liver Disorders,1.937796917045489,1.768635375192389,0.168647208949551,0.0
AdaptiveAbstractionForest,Heart Statlog,0.05876329098828137,0.053998125018551946,0.004602374974638224,0.0
AdaptiveAbstractionForest,Pima Indians Diabetes,0.12435174989514053,0.11237316695041955,0.011802500113844872,0.0
AdaptiveAbstractionForest,Australian,0.2232730828691274,0.20241341716609895,0.020634124986827374,0.0
AdaptiveAbstractionForest,Monks-1,0.04830141714774072,0.04306166595779359,0.005078708054497838,0.0
AdaptiveAbstractionTree,Iris,0.0004884169902652502,0.00027254107408225536,6.35830219835043e-05,0.0
AdaptiveAbstractionTree,Wine,0.0007197079248726368,0.0005252500995993614,5.4625095799565315e-05,0.0
AdaptiveAbstractionTree,Breast Cancer,0.004274250008165836,0.004081999883055687,5.762488581240177e-05,0.0
AdaptiveAbstractionTree,Digits,0.010014750063419342,0.009750958066433668,0.00010704109445214272,0.0
AdaptiveAbstractionTree,Balance Scale,0.0004358747974038124,0.0002505409065634012,4.762480966746807e-05,0.0
AdaptiveAbstractionTree,Blood Transfusion,0.0007492499426007271,0.0005070420447736979,8.433288894593716e-05,0.0
AdaptiveAbstractionTree,Haberman,0.0005153748206794262,0.00032837502658367157,5.3416937589645386e-05,0.0
AdaptiveAbstractionTree,Seeds,0.0006685841362923384,0.00045425002463161945,6.183399818837643e-05,0.0
AdaptiveAbstractionTree,Teaching Assistant,0.0004551250021904707,0.00026762508787214756,5.112495273351669e-05,0.0
AdaptiveAbstractionTree,Zoo,0.0006778331007808447,0.0004951250739395618,5.604117177426815e-05,0.0
AdaptiveAbstractionTree,Planning Relax,0.0008000419475138187,0.0006170000415295362,5.0582922995090485e-05,0.0
AdaptiveAbstractionTree,Ionosphere,0.0023714168928563595,0.0021063329186290503,6.433296948671341e-05,0.0
AdaptiveAbstractionTree,Sonar,0.002760124858468771,0.0025625000707805157,5.254102870821953e-05,0.0
AdaptiveAbstractionTree,Glass,0.000911500072106719,0.000674624927341938,0.00010458286851644516,0.0
AdaptiveAbstractionTree,Vehicle,0.003233332885429263,0.0030233748257160187,6.674998439848423e-05,0.0
AdaptiveAbstractionTree,Liver Disorders,0.017877875128760934,0.01731087500229478,0.00031508319079875946,0.0
AdaptiveAbstractionTree,Heart Statlog,0.0006503339391201735,0.00045787496492266655,5.120900459587574e-05,0.0
AdaptiveAbstractionTree,Pima Indians Diabetes,0.0013870829716324806,0.0011600421275943518,7.241684943437576e-05,0.0
AdaptiveAbstractionTree,Australian,0.002164625097066164,0.0018412501085549593,7.595913484692574e-05,0.0
